id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
6152,Haliburton,Tyrese,51.05,IND,PG/SG,MIL,35.00,24.32,3.02,3.90,11.59,1.72,0.48,2.81,5.27,4.72,0.72,8.29,8.70,0.65,0.013,,
3701,Antetokounmpo,Giannis,48.95,MIL,PF/C,@ IND,33.00,26.40,0.69,11.18,5.11,0.89,1.23,3.14,8.43,7.47,4.02,9.12,7.76,0.65,0.046,,
3542,Lillard,Damian,44.59,MIL,PG,@ IND,36.00,25.74,3.64,4.94,7.61,0.71,0.26,2.68,4.23,6.36,0.79,7.87,8.98,0.31,0.009,,
5664,Young,Trae,40.39,ATL,PG,@ ORL,35.00,25.33,2.13,2.78,8.96,1.28,0.07,4.14,5.30,8.34,1.07,7.43,9.86,0.38,0.004,,
6500,Banchero,Paolo,38.19,ORL,SF/PF,ATL,35.00,21.21,1.13,7.82,4.51,0.85,0.67,2.59,6.28,5.26,1.82,7.41,8.44,0.31,0.009,,
5053,Turner,Myles,37.43,IND,C,MIL,30.00,18.98,1.56,7.49,1.85,0.61,2.27,1.91,5.43,3.44,1.01,6.99,6.00,0.31,0.000,,
5301,Murray,Dejounte,32.76,ATL,PG/SG,@ ORL,34.00,18.30,1.58,4.28,4.98,1.29,0.19,2.10,5.76,2.04,0.44,7.34,8.65,0.03,0.001,,
6284,Wagner,Franz,32.07,ORL,SG/SF/PF,ATL,33.00,18.44,1.67,4.57,3.98,1.21,0.33,2.07,4.85,3.73,0.68,6.52,6.84,0.03,0.001,,
6295,Johnson,Jalen,30.64,ATL,SF/PF,@ ORL,31.00,12.69,0.87,7.92,2.46,1.16,1.05,1.49,4.20,1.68,0.99,5.07,4.02,0.24,0.002,,
5685,Brown,Bruce,29.30,IND,PG/SG/SF,MIL,31.00,14.36,1.25,4.94,3.06,1.27,0.66,1.32,4.18,2.25,0.67,5.43,5.49,0.03,0.001,,
5364,Hield,Buddy,29.26,IND,SG/SF,MIL,28.00,15.10,3.25,4.55,3.06,0.94,0.33,1.49,1.97,1.41,0.30,5.22,6.54,0.03,0.001,,
3908,Capela,Clint,27.69,ATL,C,@ ORL,24.00,11.05,0.00,9.41,0.92,0.58,1.15,0.77,4.94,1.17,0.65,4.94,2.86,0.32,0.000,,
5448,Fultz,Markelle,27.47,ORL,PG/SG,ATL,30.00,13.01,0.55,3.55,6.16,1.11,0.47,2.21,4.98,1.40,0.41,5.53,5.60,0.09,0.002,Questionable,
2846,Lopez,Brook,26.74,MIL,C,@ IND,28.00,11.57,1.35,6.23,1.03,0.49,1.76,1.01,2.94,1.64,0.37,4.29,4.36,0.07,0.000,,
6149,Okongwu,Onyeka,26.02,ATL,C,@ ORL,24.00,10.46,0.28,7.21,1.52,0.68,1.37,0.99,3.78,2.06,0.45,4.06,2.27,0.18,0.000,,
6274,Suggs,Jalen,24.33,ORL,PG/SG,ATL,27.00,11.57,1.61,3.49,3.05,1.52,0.49,1.83,2.47,1.80,0.58,4.08,5.73,0.01,0.000,,
6162,Anthony,Cole,23.77,ORL,PG,ATL,24.00,11.63,1.25,4.16,3.75,0.56,0.49,1.45,3.02,1.84,0.27,4.27,5.15,0.02,0.000,,
6505,Mathurin,Bennedict,23.25,IND,SG/SF,MIL,26.00,15.85,1.08,3.65,1.68,0.57,0.27,1.56,4.20,4.21,0.86,5.28,5.83,0.02,0.000,,
5697,Wagner,Moritz,23.03,ORL,C,ATL,24.00,11.92,1.02,5.46,1.72,0.81,0.40,1.36,2.98,2.90,0.67,4.00,3.97,0.05,0.000,,
6148,Toppin,Obi,22.73,IND,PF,MIL,23.00,11.85,1.48,4.59,1.71,0.65,0.36,0.86,3.09,1.23,0.36,4.57,4.92,0.02,0.000,,
3904,Bogdanovic,Bogdan,22.51,ATL,SG/SF/PF,@ ORL,24.00,11.94,2.53,2.35,2.69,0.85,0.27,1.09,1.74,0.87,0.17,4.27,5.40,0.01,0.000,,
5427,Beasley,Malik,22.19,MIL,SG/SF,@ IND,31.00,11.53,2.69,4.20,1.67,0.72,0.17,1.13,1.26,0.94,0.27,3.95,6.04,0.02,0.000,,
6047,Hunter,De'Andre,21.63,ATL,SF/PF,@ ORL,31.00,12.62,1.47,4.09,1.27,0.85,0.23,1.27,3.02,2.17,0.47,4.49,5.34,0.02,0.000,Playing,
6161,Nesmith,Aaron,21.57,IND,SF/PF,MIL,25.00,11.49,1.92,3.75,1.42,0.74,0.44,1.01,2.04,1.65,0.37,3.96,4.97,0.01,0.000,,
6115,Bitadze,Goga,21.46,ORL,C,ATL,20.00,7.45,0.25,5.98,1.95,0.54,1.20,0.79,2.79,1.12,0.65,3.04,2.14,0.02,0.000,,
6159,Bey,Saddiq,20.88,ATL,SF/PF,@ ORL,27.00,10.16,1.46,4.43,1.46,0.95,0.17,0.81,2.07,1.64,0.30,3.53,4.43,0.02,0.000,,
5042,Portis,Bobby,20.72,MIL,PF/C,@ IND,20.00,9.31,1.17,6.54,0.93,0.41,0.31,0.61,2.34,1.12,0.38,3.51,3.87,0.05,0.000,,
6171,Smith,Jalen,19.25,IND,PF/C,MIL,18.00,9.10,0.72,5.49,0.97,0.35,0.78,1.02,2.89,1.16,0.40,3.61,3.26,0.03,0.000,,
3456,Crowder,Jae,18.44,MIL,SF/PF,@ IND,25.00,6.99,1.37,4.20,1.64,0.90,0.44,0.72,1.10,0.68,0.21,2.47,3.33,0.00,0.000,,
5006,Connaughton,Pat,16.66,MIL,SG/SF,@ IND,25.00,6.38,1.48,4.56,1.33,0.58,0.25,0.58,0.73,0.48,0.18,2.21,3.13,0.00,0.000,,
6532,Nembhard,Andrew,15.60,IND,PG/SG,MIL,19.00,7.84,0.64,1.91,3.34,0.63,0.12,1.22,2.47,0.98,0.28,3.11,3.63,0.01,0.000,,
5453,Isaac,Jonathan,13.50,ORL,SF/PF,ATL,13.00,5.10,0.38,3.42,0.65,0.62,0.66,0.45,1.66,0.64,0.21,2.04,2.32,0.00,0.000,,
5040,Payne,Cam,12.72,MIL,PG,@ IND,14.00,5.76,0.82,1.65,2.98,0.40,0.11,0.92,1.39,0.52,0.12,2.21,3.04,0.00,0.000,,
