id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
3242,Ingles,Joe,12.03,ORL,SF/PF,ATL,17.00,4.50,1.18,1.95,2.45,0.54,0.07,0.75,0.34,0.28,0.07,1.52,2.26,0.00,0.000,,
3923,Harris,Gary,11.32,ORL,SG/SF,ATL,17.00,5.34,1.38,1.23,0.92,0.68,0.16,0.39,0.43,0.34,0.05,1.81,2.49,0.00,0.000,Out,
6520,Beauchamp,MarJon,9.33,MIL,SG/SF,@ IND,13.00,4.37,0.84,2.26,0.91,0.31,0.15,0.67,0.76,0.33,0.13,1.60,2.19,0.00,0.000,,
6583,Green,AJ,9.16,MIL,PG/SG,@ IND,15.00,5.42,0.85,1.46,1.18,0.30,0.05,0.84,1.09,0.69,0.13,1.94,2.77,0.00,0.000,,
6094,Mathews,Garrison,6.58,ATL,SG/SF,@ ORL,10.00,3.52,0.88,0.96,0.32,0.29,0.08,0.28,0.14,0.60,0.11,1.02,1.71,0.00,0.000,,
5098,McConnell,T.J.,5.42,IND,PG,MIL,5.00,2.26,0.07,0.93,1.26,0.27,0.03,0.41,0.90,0.25,0.05,0.97,0.85,0.00,0.000,,
6750,Howard,Jett,0.00,ORL,SG/SF,ATL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6734,Walker,Jarace,0.00,IND,PF,MIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Off Injury Report,
5675,Carter Jr.,Wendell,0.00,ORL,C,ATL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Injured,
6123,Okeke,Chuma,0.00,ORL,SF/PF,ATL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6641,Harris,Kevon,0.00,ORL,SG,ATL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,
6048,Fernando,Bruno,0.00,ATL,C,@ ORL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6211,Queen,Trevelin,0.00,ORL,SG,ATL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,
6738,Bufkin,Kobe,0.00,ATL,SG,@ ORL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Injured,
6773,Jackson Jr.,Andre,0.00,MIL,SG,@ IND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
5906,Bolden,Marques,0.00,MIL,C,@ IND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,
3902,Antetokounmpo,Thanasis,0.00,MIL,SF,@ IND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6535,Brown,Kendall,0.00,IND,SG,MIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,
6515,Washington,TyTy,0.00,MIL,PG,@ IND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,
6768,Sheppard,Ben,0.00,IND,SG/SF,MIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6033,Schofield,Admiral,0.00,ORL,SF/PF,ATL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6741,Black,Anthony,0.00,ORL,PG/SG,ATL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
3551,Middleton,Khris,0.00,MIL,SF/PF,@ IND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6039,Wigginton,Lindell,0.00,MIL,PG/SG,@ IND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,
6772,Lundy,Seth,0.00,ATL,SF,@ ORL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,
6217,Forrest,Trent,0.00,ATL,PG,@ ORL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6804,Norris,Miles,0.00,ATL,SF/PF,@ ORL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,
6793,Wong,Isaiah,0.00,IND,SG,MIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,
6806,Tshiebwe,Oscar,0.00,IND,PF,MIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,
4049,Theis,Daniel,0.00,IND,C,MIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
2847,Lopez,Robin,0.00,MIL,C,@ IND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
3040,Mills,Patty,0.00,ATL,PG,@ ORL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6190,Nwora,Jordan,0.00,IND,SF/PF,MIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6779,Livingston,Chris,0.00,MIL,SF,@ IND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6544,Houstan,Caleb,0.00,ORL,SG/SF,ATL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6790,Gueye,Mouhamed,0.00,ATL,PF,@ ORL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
3089,Matthews,Wesley,0.00,ATL,SG,@ ORL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Injured,
6506,Griffin,A.J.,0.00,ATL,SG/SF,@ ORL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6305,Jackson,Isaiah,0.00,IND,PF/C,MIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
