id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
3916,Embiid,Joel,59.31,PHI,C,PHO,36.00,32.44,1.17,12.30,6.00,1.10,2.04,4.16,9.51,9.91,1.92,10.68,10.41,0.76,0.084,,
3930,Jokic,Nikola,55.65,DEN,C,CHI,34.00,25.70,0.77,12.07,9.77,1.22,0.69,3.41,9.25,4.89,1.08,10.02,5.89,0.76,0.372,,
3640,Davis,Anthony,49.80,LAL,PF/C,@ ORL,37.00,25.01,0.28,12.20,3.03,1.16,2.03,2.51,9.35,5.47,1.72,9.63,7.00,0.76,0.015,,
6152,Haliburton,Tyrese,49.50,IND,PG/SG,CHA,35.00,22.80,2.97,3.72,11.88,1.65,0.59,2.97,4.66,4.57,0.71,7.63,8.93,0.65,0.013,Questionable,
5450,Tatum,Jayson,47.17,BOS,SF/PF,@ BKN,35.00,27.50,3.11,8.39,4.36,1.10,0.62,2.80,5.73,6.71,1.14,8.84,10.67,0.38,0.011,,
6147,Edwards,Anthony,44.92,MIN,SG/SF,UTA,36.00,26.75,2.57,5.62,4.72,1.34,1.08,2.78,6.96,5.12,1.58,9.53,10.01,0.07,0.002,,
2718,Durant,Kevin,44.10,PHO,SF/PF,@ PHI,35.00,26.68,2.02,6.82,5.40,0.75,1.25,3.50,7.61,5.40,0.62,9.63,8.42,0.11,0.008,,
6121,Williamson,Zion,43.55,NOR,PF/C,ATL,33.00,27.41,0.20,7.14,4.97,1.12,0.64,2.84,10.07,6.67,2.92,10.27,5.94,0.31,0.009,,
6160,Maxey,Tyrese,43.52,PHI,PG/SG,PHO,38.00,25.30,2.95,4.63,6.14,1.16,0.33,2.04,5.29,5.87,1.04,8.24,9.67,0.11,0.003,Off Injury Report,
5433,Sabonis,Domantas,42.81,SAC,PF/C,@ HOU,35.00,19.03,0.32,11.79,7.04,0.95,0.51,3.24,6.99,4.09,1.58,7.31,4.67,0.65,0.202,,
5454,Markkanen,Lauri,42.50,UTA,SF/PF,@ MIN,34.00,25.60,3.14,8.72,2.02,0.67,0.63,2.01,5.33,5.52,0.82,8.47,9.50,0.38,0.004,,
2011,James,LeBron,42.03,LAL,SF/PF,@ ORL,34.00,22.53,1.99,7.52,6.12,1.14,0.68,3.25,6.52,3.52,1.07,8.51,9.40,0.31,0.034,,
5052,Towns,Karl-Anthony,40.38,MIN,PF/C,UTA,34.00,21.91,2.10,8.06,4.66,0.70,0.78,2.56,5.56,4.49,0.83,7.66,7.44,0.38,0.011,,
5053,Turner,Myles,40.25,IND,C,CHA,30.00,19.86,1.44,8.72,1.81,0.54,2.55,1.94,5.81,3.92,1.16,7.25,5.88,0.38,0.000,,
5664,Young,Trae,40.02,ATL,PG,@ NOR,35.00,25.08,2.05,2.95,9.02,0.97,0.06,3.88,5.39,8.15,1.03,7.44,9.39,0.49,0.005,,
5002,Booker,Devin,39.82,PHO,SG/SF,@ PHI,33.00,25.09,1.89,4.28,6.55,1.02,0.35,3.17,6.83,5.76,0.96,8.72,8.89,0.11,0.003,Questionable,
6145,Ball,LaMelo,39.54,CHA,PG/SG,@ IND,33.00,20.10,3.40,5.89,7.21,1.30,0.29,3.47,3.86,2.18,0.39,7.26,9.04,0.31,0.022,,
5360,Ingram,Brandon,39.23,NOR,SG/SF/PF,ATL,35.00,24.33,1.33,5.99,6.11,0.73,0.49,3.28,7.79,4.76,0.75,9.12,9.08,0.11,0.008,Questionable,
5043,Porzingis,Kristaps,38.89,BOS,PF/C,@ BKN,33.00,19.04,2.29,8.12,2.47,0.82,1.63,1.81,4.66,2.85,0.48,6.95,6.81,0.38,0.004,,
3932,LaVine,Zach,38.59,CHI,SG/SF,@ DEN,36.00,25.05,2.43,4.19,4.85,0.84,0.26,2.26,6.28,5.20,0.90,8.71,9.60,0.03,0.001,,
5266,Brown,Jaylen,38.45,BOS,SG/SF,@ BKN,34.00,23.13,2.34,6.38,3.70,1.13,0.39,2.45,6.54,3.03,0.97,8.88,9.61,0.11,0.002,,
6281,Sengun,Alperen,38.28,HOU,C,SAC,33.00,15.95,0.35,10.50,4.64,1.25,1.03,2.47,5.97,2.96,1.40,6.32,5.11,0.50,0.015,,
5356,VanVleet,Fred,38.15,HOU,PG,SAC,36.00,18.34,3.05,3.82,6.97,1.44,0.53,2.15,2.78,3.63,0.49,5.83,8.63,0.11,0.002,,
