id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
5658,Doncic,Luka,52.24,DAL,PG,CHA,37.00,28.12,2.91,8.70,7.77,1.25,0.55,3.39,6.25,6.89,2.41,9.16,11.00,0.38,0.118,,
5698,Jackson Jr.,Jaren,45.29,MEM,PF/C,@ POR,33.00,23.91,2.00,7.31,1.37,1.20,3.00,2.18,6.19,5.53,1.38,8.19,8.67,0.31,0.000,,
2718,Durant,Kevin,44.60,PHO,SF/PF,@ DET,35.00,26.26,2.06,7.14,5.30,0.80,1.33,3.48,7.30,5.48,0.63,9.36,8.14,0.31,0.022,,
6145,Ball,LaMelo,42.38,CHA,PG/SG,@ DAL,33.00,21.21,3.54,6.21,7.78,1.24,0.24,3.14,4.01,2.57,0.46,7.55,9.92,0.31,0.034,,
5460,Mitchell,Donovan,42.20,CLE,PG/SG,GSW,36.00,26.04,2.89,4.75,4.28,1.62,0.36,2.41,6.29,4.79,0.84,9.18,10.49,0.03,0.001,,
6164,Bane,Desmond,41.55,MEM,SG/SF,@ POR,35.00,24.43,3.10,5.30,5.18,1.27,0.41,2.61,5.62,3.89,0.66,8.72,9.56,0.07,0.005,,
6275,Cunningham,Cade,41.31,DET,PG/SG,PHO,35.00,23.06,2.16,5.99,5.97,1.26,0.77,3.11,6.15,4.28,0.79,8.31,10.91,0.07,0.005,,
5354,Siakam,Pascal,40.49,TOR,PF/C,@ SAS,35.00,22.67,1.35,7.21,5.51,1.12,0.40,2.67,7.10,4.42,1.23,8.45,8.56,0.31,0.022,,
6276,Mobley,Evan,40.38,CLE,PF/C,GSW,35.00,17.34,0.33,10.64,3.41,0.77,1.77,1.68,6.64,3.07,1.59,6.97,5.78,0.56,0.011,,
2999,Curry,Stephen,39.45,GSW,PG,@ CLE,32.00,24.44,4.07,4.79,5.00,0.93,0.31,3.05,4.01,4.21,0.37,8.08,8.80,0.07,0.002,,
