id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
3369,Irving,Kyrie,39.31,DAL,PG/SG,CHA,36.00,22.28,2.48,4.54,4.78,1.15,0.69,1.81,5.49,3.86,0.38,7.97,8.73,0.03,0.001,Questionable,
6728,Wembanyama,Victor,38.96,SAS,PF/C,TOR,30.00,17.45,1.16,9.16,2.04,0.70,2.84,2.40,5.25,3.47,0.93,6.41,7.95,0.47,0.005,,
5002,Booker,Devin,38.85,PHO,SG/SF,@ DET,33.00,24.62,1.78,4.20,5.96,1.07,0.35,2.93,6.66,5.96,0.99,8.44,9.14,0.07,0.002,Questionable,
6285,Barnes,Scottie,37.75,TOR,SF/PF,@ SAS,36.00,17.77,0.92,5.33,6.73,1.33,1.09,2.40,6.22,2.57,0.79,7.14,7.20,0.11,0.007,,
5716,Ayton,Deandre,37.51,POR,C,MEM,32.00,18.26,0.13,12.04,1.54,0.69,1.08,1.85,7.62,2.63,0.82,7.75,5.54,0.75,0.000,,
6112,Garland,Darius,37.24,CLE,PG,GSW,35.00,20.93,2.33,2.69,7.39,1.34,0.13,2.53,4.90,4.14,0.58,7.23,8.62,0.31,0.003,Questionable,
6155,Vassell,Devin,35.25,SAS,SG/SF,TOR,35.00,17.09,2.58,5.39,4.32,1.29,0.57,1.51,3.52,2.31,0.58,6.10,8.47,0.07,0.002,,
3921,Grant,Jerami,34.73,POR,PF,MEM,34.00,20.40,2.07,5.05,3.11,0.90,0.98,2.09,4.46,5.27,1.16,6.53,8.53,0.07,0.001,,
6507,Duren,Jalen,34.55,DET,C,PHO,33.00,12.95,0.00,12.68,2.21,0.80,1.69,2.49,5.37,2.21,1.32,5.37,3.43,0.58,0.006,Questionable,
5468,Allen,Jarrett,33.93,CLE,C,GSW,32.00,14.36,0.03,10.28,1.87,0.76,1.33,1.18,5.80,2.67,0.99,5.83,3.52,0.49,0.000,Questionable,
6504,Sharpe,Shaedon,33.24,POR,SG/SF,MEM,34.00,18.87,2.53,5.35,3.71,0.92,0.54,2.30,4.36,2.56,0.81,6.89,8.29,0.07,0.001,,
5047,Rozier,Terry,32.36,CHA,PG/SG,@ DAL,34.00,17.85,2.77,3.96,4.00,1.09,0.19,1.44,3.91,1.72,0.39,6.68,8.92,0.03,0.001,,
5469,Anunoby,O.G.,32.18,TOR,SG/SF,@ SAS,34.00,17.26,2.60,3.68,2.65,1.79,0.62,1.66,3.74,1.98,0.48,6.34,6.59,0.02,0.000,,
5355,Poeltl,Jakob,32.13,TOR,C,@ SAS,28.00,12.61,0.04,10.20,1.95,0.91,1.32,1.41,5.56,1.37,0.92,5.60,3.07,0.44,0.000,,
6729,Henderson,Scoot,31.42,POR,PG,MEM,33.00,14.74,1.02,5.43,7.93,1.05,0.48,3.81,4.67,2.34,0.81,5.69,8.02,0.26,0.018,Doubtful,
3939,Nurkic,Jusuf,31.31,PHO,C,@ DET,28.00,11.40,0.89,10.28,2.84,1.01,0.97,1.95,3.17,2.39,1.26,4.06,4.49,0.38,0.004,,
5308,Brogdon,Malcolm,31.29,POR,PG/SG,MEM,29.00,16.38,2.00,4.70,5.05,0.80,0.35,1.91,3.82,2.74,0.45,5.82,7.10,0.06,0.002,,
3439,Beal,Bradley,30.79,PHO,PG/SG,@ DET,30.00,18.13,1.89,3.84,5.08,0.90,0.45,2.79,4.81,2.84,0.56,6.70,7.65,0.07,0.001,Out,
3399,Thompson,Klay,30.73,GSW,SG/SF,@ CLE,32.00,19.33,3.99,3.81,1.77,0.65,0.37,1.45,2.95,1.46,0.19,6.94,9.29,0.02,0.000,,
5457,Collins,Zach,29.73,SAS,PF/C,TOR,31.00,12.72,1.09,8.34,3.14,0.72,1.09,2.26,3.69,2.07,0.57,4.78,4.95,0.29,0.006,,
3949,Smart,Marcus,29.12,MEM,PG,@ POR,32.00,12.52,1.93,3.52,6.11,1.48,0.36,2.16,2.29,2.15,0.64,4.22,6.08,0.08,0.002,,
2464,Paul,Chris,29.11,GSW,PG,@ CLE,28.00,11.24,1.38,3.78,7.18,1.12,0.32,1.67,2.63,1.84,0.38,4.01,4.97,0.20,0.004,,
6168,Tillman,Xavier,29.05,MEM,PF/C,@ POR,28.00,11.69,0.14,7.80,2.32,1.35,0.71,1.00,5.05,1.17,0.81,5.19,3.27,0.20,0.002,,
6511,Williams,Mark,28.79,CHA,C,@ DAL,27.00,12.45,0.00,9.22,0.57,0.98,1.11,1.11,5.07,2.31,1.04,5.07,2.63,0.37,0.000,,
6733,Thompson,Ausar,28.49,DET,SG/SF,PHO,32.00,9.77,0.56,7.83,4.36,1.56,0.85,2.58,3.30,1.49,0.62,3.86,5.63,0.15,0.005,,
3674,Schroder,Dennis,28.21,TOR,PG,@ SAS,33.00,15.12,1.24,3.36,6.13,0.97,0.22,2.52,4.14,3.12,0.64,5.38,6.95,0.10,0.002,,
5902,Johnson,Keldon,28.08,SAS,SG/SF,TOR,32.00,16.68,1.53,5.44,2.65,0.64,0.30,1.76,4.63,2.83,1.00,6.16,7.19,0.06,0.001,,
6111,Washington,PJ,27.52,CHA,PF,@ DAL,31.00,13.54,1.83,5.14,2.30,0.86,0.92,1.43,3.32,1.41,0.59,5.15,5.83,0.06,0.001,,
6170,Stewart,Isaiah,27.47,DET,PF/C,PHO,32.00,11.67,1.61,8.63,1.56,0.57,0.78,1.40,2.52,1.80,0.75,4.13,5.18,0.25,0.000,,
3162,Hayward,Gordon,26.31,CHA,SF,@ DAL,33.00,14.48,1.15,4.44,4.21,0.68,0.25,1.89,4.34,2.35,0.53,5.49,6.33,0.03,0.001,,
6512,Sochan,Jeremy,26.20,SAS,PG/PF,TOR,29.00,11.42,0.71,6.86,3.96,0.81,0.48,2.02,3.71,1.87,0.70,4.42,5.16,0.07,0.001,,
6076,Strus,Max,25.62,CLE,SG/SF,GSW,32.00,13.58,3.06,4.09,2.07,0.72,0.12,0.79,1.47,1.46,0.26,4.53,7.15,0.02,0.000,,
5028,Looney,Kevon,25.11,GSW,PF/C,@ CLE,24.00,7.54,0.00,9.95,2.07,0.68,0.63,0.78,3.13,1.28,0.92,3.13,2.17,0.15,0.002,,
6165,Jones,Tre,24.70,SAS,PG,TOR,24.00,9.59,0.42,3.34,6.34,1.13,0.11,1.30,3.33,1.67,0.38,3.75,3.84,0.05,0.001,,
5425,LeVert,Caris,24.50,CLE,SG/SF,GSW,27.00,11.74,1.78,3.39,3.34,1.09,0.32,1.17,2.31,1.78,0.68,4.09,5.69,0.01,0.000,,
3487,Green,Draymond,24.03,GSW,PF/C,@ CLE,30.00,6.84,0.47,6.76,5.72,1.12,0.78,2.84,2.27,0.89,0.35,2.74,2.98,0.01,0.001,,
3957,Wiggins,Andrew,23.93,GSW,SF/PF,@ CLE,27.00,13.33,1.70,4.12,1.57,0.72,0.62,1.22,3.40,1.43,0.89,5.10,6.01,0.02,0.000,,
6730,Miller,Brandon,23.48,CHA,SF,@ DAL,27.00,11.96,1.98,5.89,1.81,0.60,0.45,1.72,2.21,1.60,0.37,4.19,5.78,0.05,0.000,,
6153,Hayes,Killian,23.20,DET,PG/SG,PHO,28.00,9.39,0.92,2.98,5.10,1.41,0.40,1.90,2.53,1.57,0.38,3.45,5.39,0.03,0.000,,
6327,Aldama,Santi,22.76,MEM,PF/C,@ POR,24.00,10.15,1.24,5.66,1.73,0.65,0.63,0.95,2.33,1.77,0.51,3.57,4.50,0.04,0.000,Questionable,
5701,Okogie,Josh,22.63,PHO,SG/SF,@ DET,29.00,9.32,1.24,4.90,1.87,1.33,0.56,1.15,1.84,1.92,0.80,3.08,4.24,0.01,0.000,,
6009,Williams,Grant,22.60,DAL,PF,CHA,31.00,10.24,1.84,4.90,1.87,0.66,0.66,1.07,1.53,1.66,0.55,3.37,4.51,0.02,0.000,,
5668,Williams,Robert,22.20,POR,C,MEM,20.00,6.07,0.00,8.00,1.34,0.66,1.44,0.91,2.73,0.61,0.29,2.73,1.07,0.04,0.000,,
6308,Williams,Ziaire,22.16,MEM,SF,@ POR,31.00,12.67,1.73,3.92,1.91,1.00,0.32,1.89,3.01,1.46,0.46,4.74,6.05,0.02,0.000,,
3709,Hardaway Jr.,Tim,21.68,DAL,SG/SF,CHA,27.00,12.32,2.34,3.09,1.65,0.54,0.16,0.64,1.74,1.82,0.52,4.08,6.10,0.02,0.000,,
6739,Lively II,Dereck,21.53,DAL,C,CHA,25.00,8.98,0.13,5.76,0.97,0.52,1.35,0.79,3.83,0.93,0.51,3.96,2.51,0.03,0.000,,
5719,Trent,Gary,19.74,TOR,PG/SG,@ SAS,22.00,11.33,1.82,1.96,1.31,1.02,0.15,0.62,2.19,1.49,0.27,4.01,5.23,0.00,0.000,,
3356,Burks,Alec,19.39,DET,PG/SG/SF,PHO,21.00,10.32,1.69,2.99,1.81,0.75,0.22,0.92,1.44,2.37,0.52,3.13,4.82,0.01,0.000,Questionable,
6163,Achiuwa,Precious,19.02,TOR,PF/C,@ SAS,20.00,8.82,0.71,5.96,0.91,0.60,0.49,1.16,2.80,1.09,0.53,3.51,3.57,0.03,0.000,Questionable,
6173,Green,Josh,18.99,DAL,SG/SF,CHA,30.00,9.43,1.16,3.95,1.98,0.87,0.19,1.25,2.51,0.93,0.36,3.67,3.73,0.01,0.000,,
6501,Ivey,Jaden,18.34,DET,PG/SG,PHO,22.00,11.20,1.26,2.36,3.24,0.59,0.14,2.01,2.55,2.32,0.78,3.81,5.41,0.01,0.000,,
6527,Roddy,David,17.92,MEM,SF/PF,@ POR,23.00,9.01,1.46,3.60,1.40,0.63,0.37,0.99,1.87,0.89,0.42,3.33,4.70,0.01,0.000,,
5442,Jones,Derrick,17.57,DAL,SF,CHA,20.00,8.11,0.69,3.42,0.53,0.73,0.85,0.44,2.23,1.58,0.66,2.92,2.86,0.01,0.000,,
2828,Gordon,Eric,17.42,PHO,SG/SF,@ DET,25.00,9.98,2.01,1.91,2.00,0.57,0.28,1.21,1.45,1.05,0.27,3.46,4.33,0.00,0.000,,
6212,Richards,Nick,17.14,CHA,C,@ DAL,18.00,7.60,0.00,5.97,0.48,0.20,0.87,0.79,2.77,2.06,0.71,2.77,1.53,0.02,0.000,,
5767,Eubanks,Drew,16.34,PHO,C,@ DET,18.00,5.15,0.12,4.73,1.32,0.48,1.17,0.77,1.99,0.81,0.34,2.11,1.74,0.00,0.000,,
6309,Bassey,Charles,15.90,SAS,C,TOR,15.00,5.46,0.09,5.35,1.19,0.41,0.99,1.03,2.27,0.65,0.39,2.36,1.56,0.00,0.000,,
5459,Kennard,Luke,15.75,MEM,PG/SG,@ POR,20.00,8.04,1.92,2.45,1.52,0.51,0.12,0.66,0.73,0.82,0.11,2.65,3.49,0.00,0.000,,
6177,Maledon,Theo,15.52,CHA,PG,@ DAL,19.00,6.78,0.68,2.71,3.07,0.67,0.21,1.22,1.66,1.42,0.35,2.34,3.64,0.00,0.000,,
3948,Saric,Dario,15.47,GSW,PF/C,@ CLE,17.00,7.93,0.99,4.20,1.08,0.48,0.22,1.11,1.78,1.40,0.26,2.77,3.39,0.01,0.000,,
6775,Camara,Toumani,15.10,POR,PF,MEM,20.00,6.26,0.55,4.71,1.16,0.67,0.48,1.28,1.82,0.97,0.48,2.37,2.90,0.00,0.000,,
5038,Osman,Cedi,14.95,SAS,SF/PF,TOR,20.00,7.47,1.36,2.58,1.60,0.49,0.19,0.71,1.28,0.83,0.39,2.64,3.56,0.00,0.000,,
5336,Payton II,Gary,14.81,GSW,PG/SG/SF,@ CLE,19.00,5.78,0.49,3.72,1.13,1.05,0.29,0.82,1.95,0.41,0.18,2.44,2.04,0.00,0.000,,
6289,Kuminga,Jonathan,14.61,GSW,PF,@ CLE,16.00,8.25,0.75,2.81,1.22,0.43,0.31,0.91,2.35,1.30,0.69,3.10,3.08,0.00,0.000,,
5649,Kleber,Maxi,13.61,DAL,PF/C,CHA,21.00,4.97,0.98,3.60,1.17,0.31,0.67,0.68,0.74,0.55,0.23,1.72,2.37,0.00,0.000,Questionable,
5721,Bagley III,Marvin,13.23,DET,PF/C,PHO,15.00,6.77,0.34,4.05,0.44,0.25,0.41,0.69,2.40,0.95,0.44,2.74,2.82,0.00,0.000,,
6747,Dick,Gradey,13.03,TOR,SG,@ SAS,17.00,6.77,1.30,2.31,0.98,0.55,0.15,0.69,1.13,0.61,0.12,2.43,3.37,0.00,0.000,,
5724,Allen,Grayson,12.84,PHO,SG/SF,@ DET,18.00,6.57,1.38,1.99,1.05,0.57,0.10,0.54,0.76,0.91,0.14,2.14,2.74,0.00,0.000,,
5961,Thybulle,Matisse,12.57,POR,SG/SF,MEM,17.00,3.82,0.72,2.22,0.88,1.18,0.49,0.48,0.65,0.36,0.16,1.37,1.89,0.00,0.000,,
6150,Okoro,Isaac,12.46,CLE,SG/SF,GSW,20.00,5.45,0.75,1.97,1.02,0.76,0.31,0.42,1.10,1.00,0.30,1.85,2.28,0.00,0.000,,
6283,Moody,Moses,12.35,GSW,SG/SF,@ CLE,15.00,6.70,1.01,2.20,0.90,0.37,0.20,0.53,1.36,0.95,0.31,2.37,2.91,0.00,0.000,,
6294,Thor,J.T.,12.25,CHA,PF,@ DAL,18.00,6.12,0.99,2.77,0.60,0.39,0.44,0.79,1.21,0.73,0.29,2.20,2.98,0.00,0.000,,
6595,Gilyard,Jacob,11.88,MEM,PG,@ POR,14.00,3.69,0.73,1.06,3.77,0.57,0.08,0.71,0.53,0.44,0.10,1.26,1.97,0.00,0.000,,
5804,Watanabe,Yuta,11.18,PHO,SF/PF,@ DET,16.00,4.46,0.91,2.60,0.79,0.47,0.37,0.51,0.62,0.49,0.17,1.53,2.00,0.00,0.000,,
6769,Sasser,Marcus,10.64,DET,PG,PHO,15.00,5.39,0.95,1.40,1.17,0.54,0.10,0.53,0.94,0.66,0.17,1.89,3.19,0.00,0.000,,
5235,Niang,Georges,10.04,CLE,PF,GSW,14.00,5.51,1.29,1.76,0.60,0.25,0.12,0.44,0.58,0.48,0.08,1.87,2.67,0.00,0.000,,
6561,Walker,Jabari,9.76,POR,SF/PF,MEM,13.00,4.37,0.40,2.84,0.70,0.34,0.31,0.71,1.21,0.75,0.23,1.61,2.13,0.00,0.000,,
3945,Powell,Dwight,9.67,DAL,C,CHA,13.00,4.62,0.03,2.86,0.72,0.34,0.23,0.60,1.75,1.03,0.56,1.78,0.85,0.00,0.000,,
6510,Branham,Malaki,8.80,SAS,PG/SG/SF,TOR,12.00,5.03,0.59,1.70,0.90,0.27,0.06,0.60,1.36,0.54,0.10,1.95,2.42,0.00,0.000,,
6166,Flynn,Malachi,8.08,TOR,PG,@ SAS,10.00,4.01,0.64,1.20,1.09,0.34,0.07,0.44,0.82,0.45,0.14,1.46,2.25,0.00,0.000,,
3934,McDermott,Doug,7.89,SAS,SF/PF,TOR,12.00,4.61,0.87,1.47,0.73,0.17,0.06,0.57,0.76,0.48,0.15,1.63,2.16,0.00,0.000,,
6370,Goodwin,Jordan,7.70,PHO,PG,@ DET,8.00,2.72,0.29,1.51,1.31,0.42,0.17,0.43,0.77,0.31,0.09,1.06,1.55,0.00,0.000,,
6182,Mays,Skylar,7.17,POR,SG,MEM,8.00,3.21,0.38,0.98,1.34,0.35,0.04,0.39,0.83,0.41,0.06,1.21,1.43,0.00,0.000,,
5907,Wade,Dean,6.23,CLE,SF/PF,GSW,9.00,2.13,0.48,1.65,0.40,0.29,0.17,0.17,0.27,0.15,0.08,0.75,1.15,0.00,0.000,,
5648,Boucher,Chris,4.76,TOR,PF,@ SAS,5.00,2.22,0.21,1.27,0.09,0.15,0.20,0.19,0.66,0.27,0.08,0.87,0.83,0.00,0.000,,
3924,Harris,Joe,4.61,DET,SG/SF,PHO,7.00,2.29,0.62,0.73,0.38,0.15,0.06,0.19,0.16,0.11,0.05,0.78,1.14,0.00,0.000,,
6554,Harper Jr.,Ron,0.00,TOR,SF,@ SAS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
5702,Bates-Diop,Keita,0.00,PHO,SF/PF,@ DET,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6124,Jerome,Ty,0.00,CLE,PG/SG,GSW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Questionable,
6758,Murray,Kris,0.00,POR,SF/PF,MEM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6589,Rhoden,Jared,0.00,DET,SG/SF,PHO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
5691,Robinson,Jerome,0.00,GSW,SG,@ CLE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6287,Garuba,Usman,0.00,GSW,PF/C,@ CLE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6117,Morant,Ja,0.00,MEM,PG,@ POR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Suspended,
6519,Hardy,Jaden,0.00,DAL,PG/SG,CHA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
5722,Metu,Chimezie,0.00,PHO,PF/C,@ DET,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6540,Koloko,Christian,0.00,TOR,C,@ SAS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Questionable,
6067,Clarke,Brandon,0.00,MEM,PF/C,@ POR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Injured,
5720,Simons,Anfernee,0.00,POR,PG/SG,MEM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Injured,
6586,Williams,Vince,0.00,MEM,SG,@ POR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6114,Bol,Bol,0.00,PHO,PF/C,@ DET,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6575,Quinones,Lester,0.00,GSW,SG,@ CLE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
3046,Rubio,Ricky,0.00,CLE,PG/SG,GSW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Injured,
6146,Wiseman,James,0.00,DET,C,PHO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
5981,McDaniels,Jalen,0.00,TOR,SF/PF,@ SAS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6566,Champagnie,Julian,0.00,SAS,SF/PF,TOR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6328,Mamukelashvili,Sandro,0.00,SAS,C,TOR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6524,Wesley,Blake,0.00,SAS,PG/SG,TOR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
3918,Exum,Dante,0.00,DAL,PG,CHA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6574,Mobley,Isaiah,0.00,CLE,PF/C,GSW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6563,Lofton Jr.,Kenneth,0.00,MEM,PF/C,@ POR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6800,Rice,Sir'Jabari,0.00,SAS,PG,TOR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,
3353,Biyombo,Bismack,0.00,MEM,C,@ POR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
3354,Bogdanovic,Bojan,0.00,DET,SG/SF,PHO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Injured,
6803,Porter Jr.,Craig,0.00,CLE,PG,GSW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6805,Black,Leaky,0.00,CHA,SF/PF,@ DAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6808,Cazalon,Malcolm,0.00,DET,SG,PHO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6380,Lawson,A.J.,0.00,DAL,SG/SF/PF,CHA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,
6815,Bediako,Charles,0.00,SAS,C,TOR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,
2769,Young,Thaddeus,0.00,TOR,PF/C,@ SAS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
3373,Joseph,Cory,0.00,GSW,PG/SG,@ CLE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
5673,Bridges,Miles,0.00,CHA,SF/PF,@ DAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Suspended,
6403,Wainright,Ish,0.00,POR,SF/PF,MEM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Questionable,
2857,Rose,Derrick,0.00,MEM,PG,@ POR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Injured,
3388,Morris,Markieff,0.00,DAL,PF,CHA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6771,Jackson-Davis,Trayce,0.00,GSW,PF,@ CLE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
5421,Jones,Damian,0.00,CLE,C,GSW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6319,Brown,Greg,0.00,DAL,PF,CHA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,
5991,Little,Nassir,0.00,PHO,SF/PF,@ DET,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
3711,Adams,Steven,0.00,MEM,C,@ POR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Out for season,
5670,Graham,Devonte',0.00,SAS,PG/SG,TOR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6525,LaRavia,Jake,0.00,MEM,SF/PF,@ POR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6022,Brown,Moses,0.00,POR,C,MEM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
5249,Lee,Damion,0.00,PHO,SG/SF,@ DET,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Injured,
6792,Bates,Emoni,0.00,CLE,SF,GSW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
3225,Smith,Ish,0.00,CHA,PG,@ DAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Questionable,
5497,Morris,Monte,0.00,DET,PG,PHO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Injured,
5927,Konchar,John,0.00,MEM,SG/SF,@ POR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6194,Azubuike,Udoka,0.00,PHO,C,@ DET,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
