id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
3916,Embiid,Joel,59.14,PHI,C,BOS,35.00,32.46,1.22,10.98,6.69,0.98,1.77,3.32,9.75,9.30,1.80,10.97,10.98,0.58,0.064,,
3640,Davis,Anthony,54.72,LAL,PF/C,@ HOU,37.00,26.21,0.29,13.37,2.83,1.48,2.68,2.68,9.17,7.00,2.20,9.46,7.93,0.80,0.008,,
5658,Doncic,Luka,54.60,DAL,PG,TOR,37.00,27.75,3.00,9.65,9.15,1.22,0.47,3.63,6.37,6.01,2.03,9.37,10.25,0.49,0.240,,
3930,Jokic,Nikola,53.69,DEN,C,GSW,34.00,25.13,0.91,12.04,8.89,1.03,0.65,3.11,8.55,5.30,1.19,9.46,6.52,0.76,0.289,,
5433,Sabonis,Domantas,49.24,SAC,PF/C,POR,35.00,20.98,0.38,13.84,7.62,0.99,0.58,2.96,7.59,4.66,1.80,7.97,4.78,0.80,0.248,,
3701,Antetokounmpo,Giannis,48.90,MIL,PF/C,DET,33.00,25.06,0.65,12.23,5.36,1.00,1.30,3.62,7.97,7.17,3.86,8.62,7.57,0.76,0.053,,
6152,Haliburton,Tyrese,48.00,IND,PG/SG,UTA,35.00,21.02,2.70,3.95,12.32,1.51,0.59,3.01,4.35,4.22,0.64,7.05,8.20,0.76,0.015,,
2011,James,LeBron,47.05,LAL,SF/PF,@ HOU,34.00,27.58,2.34,8.33,6.04,0.98,0.69,3.68,8.11,4.34,1.44,10.45,9.72,0.38,0.042,,
5450,Tatum,Jayson,45.86,BOS,SF/PF,@ PHI,35.00,28.74,2.96,7.83,4.21,0.86,0.47,2.93,6.85,6.16,1.07,9.81,9.94,0.31,0.009,,
3542,Lillard,Damian,45.54,MIL,PG,DET,36.00,25.71,3.44,5.32,7.49,0.92,0.32,2.64,4.17,7.05,0.87,7.61,9.94,0.31,0.022,,
