id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
3916,Embiid,Joel,55.44,PHI,C,WAS,35.00,30.70,1.30,11.36,5.85,0.89,1.57,3.52,9.45,7.90,1.53,10.75,9.01,0.65,0.046,,
3930,Jokic,Nikola,55.16,DEN,C,NOR,34.00,28.32,0.92,12.12,7.34,1.04,0.75,3.00,10.29,4.98,1.12,11.21,6.18,0.76,0.236,,
5658,Doncic,Luka,53.12,DAL,PG,@ ORL,37.00,30.20,3.37,8.44,7.65,1.32,0.49,3.99,6.60,6.89,2.34,9.97,10.95,0.38,0.118,,
6152,Haliburton,Tyrese,51.99,IND,PG/SG,SAS,35.00,24.90,3.36,3.91,11.94,1.37,0.45,2.50,5.45,3.92,0.58,8.81,8.43,0.65,0.013,,
3701,Antetokounmpo,Giannis,48.84,MIL,PF/C,@ BKN,33.00,25.72,0.66,12.47,5.21,0.85,1.10,3.49,8.81,6.12,3.29,9.47,7.41,0.76,0.053,,
3640,Davis,Anthony,48.55,LAL,PF/C,@ MIA,37.00,23.76,0.28,11.88,2.95,1.30,1.99,2.35,8.89,5.14,1.62,9.17,6.49,0.65,0.007,,
6728,Wembanyama,Victor,46.85,SAS,PF/C,@ IND,34.00,22.92,2.06,9.17,2.18,0.96,3.28,2.81,6.14,4.46,1.32,8.20,9.34,0.49,0.005,Questionable,
3542,Lillard,Damian,45.59,MIL,PG,@ BKN,36.00,26.69,3.89,4.82,7.18,0.82,0.30,2.61,4.49,6.04,0.75,8.38,10.04,0.31,0.009,,
3377,Leonard,Kawhi,45.18,LAC,SG/SF,@ NYK,35.00,25.10,2.09,7.38,4.02,1.46,0.74,1.91,7.08,4.67,0.72,9.17,8.97,0.31,0.009,,
5433,Sabonis,Domantas,44.20,SAC,PF/C,@ HOU,36.00,19.92,0.35,13.00,6.22,0.99,0.58,3.30,7.08,4.71,1.82,7.43,5.21,0.80,0.088,,
5450,Tatum,Jayson,43.95,BOS,SF/PF,@ MIN,35.00,26.45,2.79,7.96,3.96,0.92,0.56,2.77,6.02,6.04,1.04,8.81,10.42,0.31,0.006,,
6160,Maxey,Tyrese,42.76,PHI,PG/SG,WAS,38.00,23.76,2.92,4.85,6.68,0.94,0.33,1.84,5.46,4.08,0.66,8.38,8.61,0.11,0.003,,
3357,Butler,Jimmy,42.57,MIA,SF/PF,LAL,34.00,22.18,0.56,6.23,6.09,1.62,0.36,1.42,6.95,6.60,1.15,7.51,7.04,0.11,0.012,Probable,
2999,Curry,Stephen,42.48,GSW,PG,@ DET,32.00,25.91,4.30,5.42,4.58,1.09,0.31,2.69,3.81,5.39,0.50,8.11,9.78,0.07,0.002,Probable,
6121,Williamson,Zion,41.80,NOR,PF/C,@ DEN,33.00,26.95,0.19,6.62,4.45,1.19,0.56,2.66,10.43,5.52,2.41,10.62,6.70,0.11,0.003,,
